Country,Projection,Year,Estimate,Year,Estimate,Year
Singapore *,"156,755",2025,"150,689",2024,"106,000",2021
Luxembourg *,"152,915",2025,"150,772",2024,"128,200",2024
Liechtenstein *,—,—,"139,100",2009,,
Macau *,"134,042",2025,"128,268",2024,"64,800",2021
Ireland *,"134,000",2025,"131,175",2024,"115,300",2024
Monaco *,—,—,"115,700",2015,,
Qatar *,"121,605",2025,"126,110",2024,"92,200",2021
Bermuda *,—,"119,719",2024,"80,300",2021,
Norway *,"107,892",2025,"101,032",2024,"91,100",2024
Switzerland *,"97,581",2025,"93,819",2024,"82,000",2024
Brunei *,"95,758",2025,"90,007",2024,"60,100",2021
Guyana *,"94,258",2025,"79,906",2024,"21,900",2021
United States *,"89,105",2025,"85,810",2024,"75,500",2024
Cayman Islands *,—,"86,689",2024,"67,500",2021,
Isle of Man *,—,—,"84,600",2014,,
Denmark *,"88,934",2025,"79,514",2024,"73,700",2024
Netherlands *,"84,566",2025,"84,219",2024,"56,600",2021
Taiwan *,"84,082",2025,—,"47,800",2019,
San Marino *,"83,031",2025,"65,718",2021,"56,400",2020
United Arab Emirates *,"81,676",2025,"77,959",2024,"69,700",2021
Iceland *,"81,215",2025,"78,259",2024,"53,600",2020
Faroe Islands *,—,"78,165",2024,"40,000",2014,
Hong Kong *,"77,942",2025,"75,216",2024,"60,000",2021
Malta *,"76,705",2025,"67,364",2024,"44,700",2021
Belgium *,"75,846",2025,"72,126",2024,"51,700",2021
Sweden *,"74,902",2025,"71,031",2024,"53,600",2021
Austria *,"74,372",2025,"71,193",2024,"54,100",2021
Germany *,"72,599",2025,"72,300",2024,"53,100",2021
Falkland Islands *,—,—,"70,800",2015,,
Australia *,"72,138",2025,"71,193",2024,"60,100",2024
Andorra *,"72,059",2025,"71,588",2023,"49,900",2015
Bahrain *,"67,795",2025,"67,211",2024,"49,400",2021
Finland *,"66,496",2025,"64,091",2024,"48,800",2021
Canada *,"65,707",2025,"65,463",2024,"47,900",2021
France *,"65,626",2025,"61,322",2024,"45,000",2021
South Korea *,"65,112",2025,"54,033",2023,"44,200",2021
Cyprus *,"65,088",[n 1]2025,"61,240",[n 1]2024,"41,700",[n 1]2021
European Union *[n 2],"64,545",2025,"62,433",2024,"44,100",2021
United Kingdom *,"63,661",2025,"60,620",2024,"45,000",2021
Gibraltar *,—,—,"61,700",2014,,
Italy *,"63,076",2025,"60,847",2024,"41,900",2021
Saudi Arabia *,"61,923",2025,"71,243",2024,"44,300",2021
Czech Republic *,"59,368",2025,"56,806",2024,"40,700",2020
Jersey *,—,—,"56,600",2016,,
Slovenia *,"57,985",2025,"56,531",2024,"40,000",2021
Lithuania *,"57,196",2025,"54,414",2024,"39,300",2021
Spain *,"56,555",2025,"56,926",2024,"37,900",2021
Israel *,"56,436",2025,"55,691",2024,"42,100",2021
New Zealand *,"55,450",2025,"55,094",2024,"42,900",2021
Poland *,"55,186",2025,"50,378",2024,"34,900",2021
Japan *,"54,677",2025,"51,685",2024,"40,800",2021
Guernsey *,—,—,"52,500",2014,,
Sint Maarten (Dutch part) *,—,"51,527",2023,"35,300",2018,
Croatia *,"51,442",2025,"48,575",2024,"31,600",2021
Kuwait *,"50,961",2025,"51,636",2024,"43,900",2020
Aruba *,"50,896",2025,"45,236",2022,"38,900",2021
Portugal *,"50,037",2025,"50,617",2024,"33,700",2021
Puerto Rico *,"50,772",2025,"50,156",2024,"32,600",2021
Estonia *,"49,671",2025,"49,334",2024,"38,700",2021
Russia *,"49,383",2025,"47,405",2024,"27,500",2022
Romania *,"49,213",2025,"48,712",2024,"30,800",2021
Hungary *,"48,600",2025,"47,636",2024,"33,600",2021
U.S. Virgin Islands *,—,"46,238",2021,"37,000",2016,
Saint Pierre and Miquelon *,—,—,"46,200",2006,,
Slovakia *,"47,425",2025,"47,181",2024,"31,900",2021
Greece *,"45,048",2025,"44,074",2024,"29,500",2021
Latvia *,"44,563",2025,"43,867",2024,"32,100",2021
Greenland *,—,—,"41,800",2015,,
Kazakhstan *,"44,446",2025,"40,813",2024,"26,100",2021
Panama *,"43,839",2025,"41,405",2024,"29,000",2021
Malaysia *,"43,473",2025,"38,729",2024,"26,300",2021
Turkey *,"42,451",2025,"43,932",2024,"31,500",2021
Oman *,"42,015",2025,"41,664",2024,"34,300",2021
Seychelles *,"42,009",2025,"33,239",2024,"28,800",2021
Bulgaria *,"41,901",2025,"41,086",2024,"24,400",2020
Bahamas *,"38,829",2025,"41,198",2024,"30,200",2021
New Caledonia *,—,—,"35,700",2021,,
Guam *,—,—,"35,600",2016,,
Uruguay *,"37,060",2025,"36,418",2024,"22,800",2021
Maldives *,"36,585",2025,"24,809",2023,"18,800",2021
Trinidad and Tobago *,"36,018",2025,"36,021",2024,"23,000",2021
British Virgin Islands *,—,—,"34,200",2017,,
Montserrat *,—,—,"34,000",2011,,
Chile *,"35,146",2025,"34,637",2024,"25,400",2021
Belarus *,"34,313",2025,"33,006",2024,"19,800",2021
Saint Kitts and Nevis *,"34,002",2025,"35,545",2024,"26,500",2021
Mauritius *,"33,954",2025,"31,051",2024,"21,000",2021
Montenegro *,"33,620",2025,"33,380",2024,"20,600",2021
Serbia *,"33,114",2025,"31,867",2024,"19,800",2021
Antigua and Barbuda *,"31,781",2025,"33,602",2024,"19,100",2021
Costa Rica *,"31,463",2025,"30,063",2024,"21,200",2021
Curaçao *,—,"30,716",2024,"20,800",2021,
Argentina *,"31,380",2025,"30,176",2024,"21,500",2021
Dominican Republic *,"30,875",2025,"27,541",2024,"18,600",2021
