name,displacement
amc ambassador brougham,360.0
amc ambassador dpl,390.0
amc ambassador sst,304.0
amc concord,191.5
amc concord d/l,258.0
amc concord dl 6,232.0
amc gremlin,223.75
amc hornet,223.75
amc hornet sportabout (sw),258.0
amc matador,271.2
amc matador (sw),304.0
amc pacer,232.0
amc pacer d/l,258.0
amc rebel sst,304.0
amc spirit dl,121.0
audi 100 ls,107.0
audi 100ls,114.5
audi 4000,97.0
audi 5000,131.0
audi 5000s (diesel),121.0
audi fox,98.0
bmw 2002,121.0
bmw 320i,121.0
buick century,231.0
buick century 350,350.0
buick century limited,181.0
buick century luxus (sw),350.0
buick century special,231.0
buick electra 225 custom,455.0
buick estate wagon (sw),402.5
buick lesabre custom,350.0
buick opel isuzu deluxe,111.0
buick regal sport coupe (turbo),231.0
buick skyhawk,231.0
buick skylark,191.0
buick skylark 320,350.0
buick skylark limited,151.0
cadillac eldorado,350.0
cadillac seville,350.0
capri ii,140.0
chevroelt chevelle malibu,250.0
chevrolet bel air,350.0
chevrolet camaro,151.0
chevrolet caprice classic,336.6666666666667
chevrolet cavalier,112.0
chevrolet cavalier 2-door,112.0
chevrolet cavalier wagon,112.0
chevrolet chevelle concours (sw),307.0
chevrolet chevelle malibu,278.5
chevrolet chevelle malibu classic,277.5
chevrolet chevette,94.75
chevrolet citation,165.66666666666666
chevrolet concours,250.0
chevrolet impala,388.5
chevrolet malibu,275.0
chevrolet malibu classic (sw),267.0
chevrolet monte carlo,400.0
chevrolet monte carlo landau,327.5
chevrolet monte carlo s,350.0
chevrolet monza 2+2,262.0
chevrolet nova,250.0
chevrolet nova custom,250.0
chevrolet vega,140.0
chevrolet vega (sw),140.0
chevrolet vega 2300,140.0
chevrolet woody,98.0
chevy c10,350.0
chevy c20,307.0
chevy s-10,119.0
chrysler cordoba,400.0
chrysler lebaron medallion,156.0
chrysler lebaron salon,225.0
chrysler lebaron town @ country (sw),360.0
chrysler new yorker brougham,440.0
chrysler newport royal,400.0
datsun 1200,72.0
datsun 200-sx,119.0
datsun 200sx,119.0
datsun 210,85.0
datsun 210 mpg,85.0
datsun 280-zx,168.0
datsun 310,86.0
datsun 310 gx,91.0
datsun 510,119.0
datsun 510 (sw),97.0
datsun 510 hatchback,119.0
datsun 610,108.0
datsun 710,101.0
datsun 810,146.0
datsun 810 maxima,146.0
datsun b-210,85.0
datsun b210,79.0
datsun b210 gx,85.0
datsun f-10 hatchback,85.0
datsun pl510,97.0
dodge aries se,135.0
dodge aries wagon (sw),156.0
dodge aspen,225.0
dodge aspen 6,225.0
dodge aspen se,225.0
dodge challenger se,383.0
dodge charger 2.2,135.0
dodge colt,114.66666666666667
dodge colt (sw),98.0
dodge colt hardtop,97.5
dodge colt hatchback custom,98.0
dodge colt m/m,98.0
dodge coronet brougham,318.0
dodge coronet custom,318.0
dodge coronet custom (sw),318.0
dodge d100,318.0
dodge d200,318.0
dodge dart custom,318.0
dodge diplomat,318.0
dodge magnum xe,318.0
dodge monaco (sw),383.0
dodge monaco brougham,318.0
dodge omni,105.0
